Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QA","Live Animals","5100","Africa","5112","Stocks","1057","Chickens","2014","2014","1000 Head","1809059","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5100","Africa","5112","Stocks","1068","Ducks","2014","2014","1000 Head","28539","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5100","Africa","5112","Stocks","1072","Geese and guinea fowls","2014","2014","1000 Head","25296","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5100","Africa","5112","Stocks","1083","Pigeons, other birds","2014","2014","1000 Head","13384","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5100","Africa","5112","Stocks","1079","Turkeys","2014","2014","1000 Head","23658","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5200","Americas","5112","Stocks","1057","Chickens","2014","2014","1000 Head","5436151","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5200","Americas","5112","Stocks","1068","Ducks","2014","2014","1000 Head","27594","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5200","Americas","5112","Stocks","1072","Geese and guinea fowls","2014","2014","1000 Head","781","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5200","Americas","5112","Stocks","1079","Turkeys","2014","2014","1000 Head","312477","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5203","Northern America","5112","Stocks","1057","Chickens","2014","2014","1000 Head","2149990","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5203","Northern America","5112","Stocks","1068","Ducks","2014","2014","1000 Head","9251","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5203","Northern America","5112","Stocks","1072","Geese and guinea fowls","2014","2014","1000 Head","350","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5203","Northern America","5112","Stocks","1079","Turkeys","2014","2014","1000 Head","243200","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5112","Stocks","1057","Chickens","2014","2014","1000 Head","11923472","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5112","Stocks","1068","Ducks","2014","2014","1000 Head","986528","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5112","Stocks","1072","Geese and guinea fowls","2014","2014","1000 Head","281715","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5112","Stocks","1083","Pigeons, other birds","2014","2014","1000 Head","16091","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5112","Stocks","1079","Turkeys","2014","2014","1000 Head","14575","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5303","Southern Asia","5112","Stocks","1057","Chickens","2014","2014","1000 Head","2841669","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5303","Southern Asia","5112","Stocks","1068","Ducks","2014","2014","1000 Head","76462","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5303","Southern Asia","5112","Stocks","1072","Geese and guinea fowls","2014","2014","1000 Head","1000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5303","Southern Asia","5112","Stocks","1079","Turkeys","2014","2014","1000 Head","2000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5401","Eastern Europe","5112","Stocks","1057","Chickens","2014","2014","1000 Head","1005785","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5401","Eastern Europe","5112","Stocks","1068","Ducks","2014","2014","1000 Head","54155","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5401","Eastern Europe","5112","Stocks","1072","Geese and guinea fowls","2014","2014","1000 Head","17095","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5401","Eastern Europe","5112","Stocks","1079","Turkeys","2014","2014","1000 Head","37218","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5404","Western Europe","5112","Stocks","1057","Chickens","2014","2014","1000 Head","452917","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5404","Western Europe","5112","Stocks","1068","Ducks","2014","2014","1000 Head","29768","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5404","Western Europe","5112","Stocks","1072","Geese and guinea fowls","2014","2014","1000 Head","865","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5404","Western Europe","5112","Stocks","1083","Pigeons, other birds","2014","2014","1000 Head","1800","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5404","Western Europe","5112","Stocks","1079","Turkeys","2014","2014","1000 Head","33255","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5500","Oceania","5112","Stocks","1057","Chickens","2014","2014","1000 Head","126014","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5500","Oceania","5112","Stocks","1068","Ducks","2014","2014","1000 Head","1428","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5500","Oceania","5112","Stocks","1072","Geese and guinea fowls","2014","2014","1000 Head","82","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5500","Oceania","5112","Stocks","1079","Turkeys","2014","2014","1000 Head","1377","A","Aggregate, may include official, semi-official, estimated or calculated data"
